DATE,Interest rate,Consumer price index,M1 money supply,Unemployment rate,Closing price,Inflation rate,Real GDP,Real personal income,M2 money supply,Opening price,House price,Change in values of stocks,Net Exports,Labor compensation,Total capital expenditure and transactions,Outcome
Mar-85,8.58,106.8,530.5,7.2,180.7,3.704,8400.82,6988.108,2366.2,181.2,124.9,-0.28,-91.3,4.017857143,1361272,0
Apr-85,8.27,107,533.1,7.3,179.8,3.686,8474.787,6975.177,2375.4,180.7,126.78,-0.5,-114.45,4.120267261,1393455,0
May-85,7.97,107.2,536.5,7.2,189.6,3.772,8474.787,6990.38,2389.5,179.8,126.78,5.45,-114.45,4.226918799,1393455,0
Jun-85,7.53,107.5,541.7,7.4,191.8,3.761,8474.787,7015.149,2412.6,189.6,126.78,1.16,-114.45,3.986710963,1393455,0
Jul-85,7.88,107.7,547,7.4,190.9,3.554,8604.22,7025.338,2429.5,191.8,128.75,-0.47,-116.9,4.08839779,1418064,0
Aug-85,7.9,107.9,552.5,7.1,188.6,3.349,8604.22,7025.068,2444,190.9,128.75,-1.2,-116.9,3.740374037,1418064,0
Sep-85,7.92,108.1,558.1,7.1,182.1,3.143,8604.22,7057.327,2456.4,188.6,128.75,-3.45,-116.9,3.50877193,1418064,0
Oct-85,7.99,108.5,560.2,7.1,189.8,3.229,8668.188,7091.229,2468,182.1,130.18,4.23,-133.43,3.387978142,1443937,0
Nov-85,8.05,109,561.7,7,202.2,3.514,8668.188,7102.139,2477.8,189.8,130.18,6.53,-133.43,3.264417845,1443937,0
Dec-85,8.27,109.5,566,7,211.3,3.799,8668.188,7145.546,2492.1,202.2,130.18,4.5,-133.43,3.579175705,1443937,0
Jan-88,6.83,116,651.9,5.7,257.1,4.047,9367.502,7669.267,2847.4,247.1,149.59,4.05,-123.99,2.481902792,1599728,0
